Cultivo,Temp. Opt. Mín. (°C),Temp. Opt. Máx. (°C),Temp. Recomendada (°C)_valor_mínimo,Temp. Recomendada (°C)_valor_máximo,Lluvia Óptima (mm)_valor_mínimo,Lluvia Óptima (mm)_valor_máximo,Humedad Ambiental (%)_valor_mínimo,Humedad Ambiental (%)_valor_máximo,Humedad Suelo (%)_valor_mínimo,Humedad Suelo (%)_valor_máximo,Temp. Recomendada (°C)_valor_promedio,Lluvia Óptima (mm)_valor_promedio,Humedad Ambiental (%)_valor_promedio,Humedad Suelo (%)_valor_promedio
Fresa,10,26,15,22,400,600,60,70,60,75,18.5,500.0,65.0,67.5
Frijol,14,30,18,24,300,500,40,55,40,55,21.0,400.0,47.5,47.5
Garbanzo grano,10,28,16,22,200,400,40,55,45,60,19.0,300.0,47.5,52.5
Gladiola,12,26,18,23,300,400,55,65,55,65,20.5,350.0,60.0,60.0
Guayaba,13,32,20,26,800,1000,70,80,65,75,23.0,900.0,75.0,70.0
Lechuga,6,22,12,18,300,400,60,70,60,70,15.0,350.0,65.0,65.0
Limón,12,30,18,24,700,1000,70,80,65,75,21.0,850.0,75.0,70.0
Maguey pulquero,16,32,22,26,500,700,45,60,45,55,24.0,600.0,52.5,50.0
Mango,16,30,22,26,600,900,65,75,60,70,24.0,750.0,70.0,65.0
Manzana,10,28,16,22,500,700,55,65,55,70,19.0,600.0,60.0,62.5
Maíz forrajero en verde,12,30,18,24,400,600,55,65,55,70,21.0,500.0,60.0,62.5
Maíz grano,12,30,18,24,400,600,50,65,50,65,21.0,500.0,57.5,57.5
Melón,16,32,22,28,300,500,50,65,50,65,25.0,400.0,57.5,57.5
Naranja,12,30,18,24,700,1000,70,80,65,75,21.0,850.0,75.0,70.0
Nopalitos,16,32,22,28,300,500,40,55,40,55,25.0,400.0,47.5,47.5
Nuez,10,28,16,22,600,900,55,65,55,70,19.0,750.0,60.0,62.5
Papa,10,25,15,20,500,700,60,70,60,75,17.5,600.0,65.0,67.5
Papaya,18,32,24,28,900,1200,70,80,70,80,26.0,1050.0,75.0,75.0
Pepino,16,32,22,28,400,600,60,70,60,75,25.0,500.0,65.0,67.5
Pera,10,28,16,22,500,700,55,65,55,70,19.0,600.0,60.0,62.5
Piña,18,32,24,28,900,1200,70,80,70,80,26.0,1050.0,75.0,75.0
Plátano,18,32,24,28,1000,1300,70,80,70,80,26.0,1150.0,75.0,75.0
Rosa,12,26,16,22,300,400,55,65,55,65,19.0,350.0,60.0,60.0
Sandía,16,34,24,30,300,500,50,65,50,65,27.0,400.0,57.5,57.5
Sorgo forrajero en verde,14,34,20,28,300,500,50,65,50,65,24.0,400.0,57.5,57.5
Sorgo grano,14,34,20,28,200,400,40,55,40,55,24.0,300.0,47.5,47.5
Soya,12,30,18,24,300,500,45,60,45,60,21.0,400.0,52.5,52.5
Tabaco,16,32,22,28,400,600,55,65,55,70,25.0,500.0,60.0,62.5
Tomate rojo (jitomate),16,28,18,24,400,600,60,70,60,70,21.0,500.0,65.0,65.0
Tomate verde,16,28,20,25,400,600,60,70,60,70,22.5,500.0,65.0,65.0
Toronja (pomelo),12,30,18,24,700,1000,70,80,65,75,21.0,850.0,75.0,70.0
Trigo grano,8,26,12,20,150,300,40,55,45,60,16.0,225.0,47.5,52.5
Tuna,16,32,22,28,300,500,40,55,40,55,25.0,400.0,47.5,47.5
Uva,14,32,20,28,500,800,50,65,50,70,24.0,650.0,57.5,60.0
Zanahoria,8,26,14,20,350,500,60,70,60,75,17.0,425.0,65.0,67.5
Zarzamora,12,28,18,24,400,600,60,70,60,75,21.0,500.0,65.0,67.5
